tail	head	weight
n62	1e consult      bezoek	1
n26	uterus      - carc. cervix vlgs. werthei	1
ct thorax	n61	1
fdp - dimeer - immunologisch	n61	1
vitamine b3	n61	1
tau start	n32	1
n62	factor v leiden -r506q- mbv dna-test	1
n62	vrw.gesl.org- plastische operatie van vu	1
duplexscan - venen been	n61	1
n60	tau start	1
dieet nno	n61	1
proteine-s-antigeen -totaal	n61	1
n30	echografie-doppler venen been	1
vrw.gesl.org- adnex-extirpatie dmv lapar	n31	1
n62	190035 dagverpleging    a007	1
melkzuur dehydrogenase - spoed	n61	1
n52	patient niet verschenen radiologie	1
punctie cyste tumor ed. door radioloog o	n61	1
n62	190101 bovenreg.toesl.  a101	1
calcium	n61	1
n62	albumine - spoed	1
n62	creatinine	1
skelet - scintigrafie totale lichaam	n52	1
n62	gefiltreerd erytrocytenconcentraat	1
n32	vrw.gesl.org- adnex-extirpatie dmv lapar	1
antitrombine iii mbv chromogeen-n-substr	n61	1
sex-hormone-binding globuline mbv ria	n61	1
echografie a vue ivw zwangerschap - met	n28	1
ethanol -enzymatisch of gaschromatografi	n61	1
n62	melkzuurdehydrogenase -ldh- kinetisch	1
n62	ct bovenbuik	1
n62	ct a.pulmonalis	1
n62	cde fenotypering	1
ligdagen - alle spec.beh.kinderg.-reval.	n61	1
n62	vitamine b12 mbv chemieluminescentie	1
blaas       - uretrocystoscopie nno	n59	1
n62	interc.consult klinisch  interne ziekten	1
n36	vagina      - scopie excl.weefselwegname	1
n62	anticoagulans lupus mbv elisa	1
vrw.gesl.org- curettage gefractioneerd	n33	1
osmolaliteit - spoed	n61	1
triglyceriden - enzymatisch	n61	1
n62	onderbeen	1
n62	aanname laboratoriumonderzoek	1
n60	rib-sternum	1
echo hals --waaronder schildklier--	n56	1
n62	190021 klinische opname a002	1
n62	proteine-s-antigeen -totaal	1
behandelen  - in hyperpressietank	n13	1
n16	echo mamma	1
creatinine - spoed	n61	1
natrium - vlamfotometrisch - spoed	n61	1
n62	onderz. naar aanwezigheid van koude anti	1
tau from tree	n29	1
n62	lh mbv radioisotopen	1
klinische kaart - verloskunde en gynaeco	n7	1
tau from tree	n27	1
wervelkolom - thoracaal	wervelkolom - thoracolumbale overgang	1
n26	uterus      - extirpatie - abdominaal me	1
n62	hematocriet mbv centrifuge	1
clostridium elisa-test	n61	1
hematocriet mbv centrifuge	n61	1
n57	tau from tree	1
n43	pyelografie --wo niertransplantaat--	1
vitamine b12 mbv chemieluminescentie	n61	1
sgot asat kinetisch - spoed	n61	1
ferritine kwn mbv chemieluminescentie	n61	1
testosteron mbv radioisotopen	n61	1
n62	diagnostische punctie onder echocontrole	1
n62	coupe ter inzage	1
interc.consult klinisch  anesthesie	n61	1
n62	tsh enzym-immunologisch	1
n62	cytologisch onderzoek - lymfeklierpuncti	1
n29	tau from tree	1
n62	hepatitis-b surface antigeen confirmatie	1
n62	resistentiebepalingen - 5 bepalingen	1
n34	vrw.gesl.org- curettage gefractioneerd	1
190205 klasse 3b        a205	n61	1
n62	ct totale lichaam	1
ureum - spoed	n30	1
patient niet verschenen radiologie	n54	1
n62	sgpt - alat kinetisch	1
tau from tree	n59	1
buik        - laparoscopie - diagnostisc	n35	1
n25	tau from tree	1
n62	anti-cytomegalovirus ig of igg -elisa	1
n40	tau from tree	1
n62	hematocriet - spoed	1
n62	e.c.g.      - elektrocardiografie	1
trombotest	n61	1
tsh enzym-immunologisch	n61	1
creatine fosfokinase isoenzym ckmb	n61	1
n35	tau from tree	1
n60	buikoverzicht	1
ct a.pulmonalis	n61	1
kalium potentiometrisch	n61	1
n62	clostridium elisa-test	1
tau from tree	n28	1
n7	tau from tree	1
n13	tau from tree	1
n62	cefalinetijd - coagulatie	1
delta-4-androsteendion	n61	1
n8	wervelkolom - cervicaal	1
vriescoupe	n59	1
ordertarief	n61	1
n62	longfunctie - co2 - capnografie	1
n62	creatine fosfokinase isoenzym ckmb	1
heup	n59	1
n62	tumor - petscan totale lichaam	1
n62	ca-19.9 tumormarker	1
anti-cytomegalovirus ig of igg -elisa	n61	1
onderzoek van elders niet beoordeeld	n4	1
n45	tau from tree	1
n50	uterus      - hysteroscopie	1
n62	ct lever en galwegen	1
n41	alfa amylase - spoed	1
n59	tau from tree	1
n62	vitamine b6	1
ct lever en galwegen	n61	1
n62	oestradiol mbv radioisotopen -ria	1
n62	creatinine - spoed	1
buik        - adhesiolyse en biopsie dmv	n33	1
tau start	n5	1
n62	fdp - dimeer - immunologisch	1
wisselen drain onder rontgencontrole	n15	1
mri abdomen	n61	1
tau from tree	n21	1
n51	tau from tree	1
uterus      - extirpatie - abdominaal me	n29	1
n62	immunopathologisch onderzoek	1
bekken	n51	1
n38	echografie a vue ivw zwangerschap - met	1
n62	trombocyten tellen - spoed	1
buikoverzicht	n59	1
tau start	n58	1
n62	zink	1
n62	vitamine e -hplc-methode	1
n62	dieet nno	1
leukocyten tellen elektronisch	n61	1
n62	vulva       - rad.vulvectomie - opp.en d	1
n46	bekken - staand	1
n62	haemoglobine foto-electrisch - spoed	1
wervelkolom - lumbaal	n29	1
totaal eiwit	n61	1
n62	vitamine b2	1
n62	magnesium  -aas - spoed	1
n26	wervelkolom - lumbaal	1
wervelkolom - thoracolumbale overgang	n9	1
n62	alkalische fosfatase - kinetisch - spoed	1
vrij t4 mbv ria -ft 4	n61	1
patient niet verschenen ngiv- no show -	n21	1
bovenarm	n41	1
n62	t3-uptake latente bindingscap. geb. tbg	1
tau from tree	n46	1
n60	bekken - liggend	1
verlosk.-gynaec. korte kaart kosten-out	n61	1
opname volgens barsonie	n48	1
n62	mri bekken	1
analgesie   - epiduraal door anesthesist	n30	1
n62	punctie cyste tumor ed. door radioloog o	1
n62	melkzuur dehydrogenase - spoed	1
n18	tau from tree	1
thorax - op zaal	n57	1
n62	protrombinetijd -quick owren of modif.-	1
kalium vlamfotometrisch - spoed	n61	1
maag - ontledig.-scint vast-vloeib.voeds	darm - colonpassage scint.comp.vervolg	1
n27	klinische kaart - verloskunde en gynaeco	1
n35	tuba uterina- reanastomose na sterilisat	1
bicarbonaat	n61	1
n62	verlosk.-gynaec.  aanv.kaart kosten-out	1
lh mbv radioisotopen	n61	1
international normalised ratio mbv tromb	n61	1
tau from tree	n52	1
n15	tau from tree	1
n62	hepatitis-c-virus roche -hcvr- mbv pcr	1
n62	antitrombine iii mbv chromogeen-n-substr	1
n30	tau from tree	1
cefalinetijd - coagulatie	n61	1
tau from tree	n38	1
bezinkingssnelheid foto-elektrisch	n61	1
tau from tree	n31	1
bloedstollingsfactor xii - activiteit	n61	1
n25	pyelografie antegraad via drain	1
gefiltreerd erytrocytenconcentraat	n61	1
n60	tau from tree	1
gamma glutamyltranspeptidase - spoed	n61	1
interc.consult klinisch  reumatologie	n61	1
rib-sternum	n59	1
darm - colonpassage scint.comp.vervolg	n15	1
n62	ordertarief	1
tau from tree	n39	1
vagina      - scopie excl.weefselwegname	n33	1
behandeltijd - eenheid t1 - megavolt	n51	1
longfunctie - stroomvolume curve	n15	1
n55	tau from tree	1
creatine fosfokinase mb - spoed	n61	1
n62	kruisproef volledig -drie methoden-	1
diagnostische punctie onder echocontrole	n61	1
ct abdomen	n61	1
n42	vagina      - scopie incl.evt.vulvabiops	1
n64	behandeltijd - eenheid t4 - megavolt	1
n9	longfunctie - spirometrie	1
calcium - spoed	n61	1
cytologisch onderzoek - ascites -	n61	1
n60	blaas       - uretrocystoscopie nno	1
n62	arterie     - punctie tbv.verblijfsnaald	1
albumine - spoed	n61	1
n53	tau start	1
n62	histologisch onderzoek - biopten nno	1
crp c-reactief proteine	n61	1
hepatitis-c-virus roche -hcvr- mbv pcr	n61	1
n60	heup	1
n62	differentiatie leukocyten - handmatig	1
klinische kaart - inwendige geneeskunde	n61	1
magnesium  -aas - spoed	n61	1
n47	tau from tree	1
echografie  - genitalia interna	n59	1
lymf.syst.  - stageringslymfadenectomie	peritoneum  - omentectomie	1
n3	cytologisch onderzoek tbv bevolkingsonde	1
n62	cito histologisch onderzoek	1
n62	kalium potentiometrisch	1
tau from tree	n58	1
alfa-1-foetoproteine	n61	1
alfa amylase - spoed	n45	1
n62	histologisch onderzoek - grote resectiep	1
hematocriet - spoed	n61	1
n17	tau from tree	1
tau from tree	n55	1
n62	cytologisch onderzoek - urine niercyste	1
n27	cytologisch onderzoek - endocervix -	1
n62	echogeleide als ass.bij punctie-biopsie	1
n40	behandeltijd - eenheid t2 - megavolt	1
reticulocyten tellen mbv facscan	n61	1
n62	administratief tarief       - eerste pol	1
n62	ct bekken	1
ct totale lichaam	n61	1
klinische kaart - anesthesie	n61	1
n62	von willebrand profiel mbv protease	1
n62	hemoglobine foto-elektrisch	1
n62	progesteron mbv radioisotopen	1
n62	vitamine d3	1
factor ii mutatie mbv pcr	n61	1
